,UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C142,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1MHP,F1M01,F1M02,F1M03,F1M04,F1M05,F1M06,F1M07,F1M08,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1FHA,F1H01,F1H02,GBA6RTBK,year,F1CORREV,F1TUFEPC,F1STAPPC,F1LCAPPC,F1GVGCPC,F1PGGCPC,F1INVRPC,F1OTRVPC,F1TUFEFT,F1STAPFT,F1LCAPFT,F1GVGCFT,F1PGGCFT,F1INVRFT,F1OTRVFT,F1COREXP,F1INSTPC,F1RSRCPC,F1PBSVPC,F1ACSPPC,F1STSVPC,F1INSUPC,F1OTEXPC,F1INSTFT,F1RSRCFT,F1PBSVFT,F1ACSPFT,F1STSVFT,F1INSUFT,F1OTEXFT,F1SAFBPC,F1SALRPC,F1ENDMFT,F1EQUITR,F1C013,F1C014,F1C015,F1C016,F1C017,F1C023,F1C024,F1C025,F1C026,F1C027,F1C033,F1C034,F1C035,F1C036,F1C037,F1C053,F1C054,F1C055,F1C056,F1C057,F1C063,F1C064,F1C065,F1C066,F1C067,F1C073,F1C074,F1C075,F1C076,F1C077,F1C081,F1C082,F1C083,F1C084,F1C085,F1C086,F1C087,F1C105,F1C113,F1C114,F1C115,F1C116,F1C117,F1C123,F1C124,F1C125,F1C126,F1C127,F1C133,F1C134,F1C135,F1C136,F1C137,F1C143,F1C144,F1C145,F1C146,F1C147,F1C194,F1C195,F1C196,F1C197
0,144005,35060064.0,142633233.0,3189115.0,145822348.0,180882412.0,323727.0,2382394.0,9388431.0,11770825.0,10085121.0,5172082.0,15257203.0,27028028.0,8190946.0,134447179.0,2176280.0,0.0,9363706.0,145987165.0,27087453.0,0.0,190057301.0,33470146.0,13190656.0,263805556.0,121342112.0,169921.0,0.0,107098067.0,109987792.0,-2889725.0,148529977.0,346913.0,145987165.0,19513740.0,6864139.0,180094.0,275919.0,0.0,275919.0,7050464.0,0.0,0.0,0.0,7742.0,33892098.0,0.0,35258300.0,0.0,6194919.0,3384041.0,0.0,0.0,538013.0,26772040.0,72147313.0,106039411.0,1058656.0,0.0,0.0,0.0,1058656.0,107098067.0,49920895.0,27263566.0,1997100.0,1023586.0,4173179.0,1375570.0,8794947.0,4257547.0,6994507.0,3667379.0,19223849.0,8113728.0,5002400.0,13269632.0,4719216.0,0.0,0.0,0.0,0.0,611283.0,0.0,109987792.0,50420592.0,26066170.0,15370194.0,5438200.0,450769.0,12241867.0,2.0,,,,,,,,,6194919.0,658815.0,3411086.0,0.0,81366.0,4214468.0,14560654.0,9470691.0,87563.0,9558254.0,5002400.0,1.0,5263068.0,6068215.0,17.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,144892,57146726.0,246122072.0,10469988.0,256592060.0,313738786.0,700265.0,7046883.0,11461487.0,18508370.0,81171399.0,13131189.0,94302588.0,112810958.0,3552040.0,167528791.0,17979612.0,5325269.0,7242381.0,198076053.0,34635895.0,0.0,416006173.0,77784929.0,2085328.0,530512325.0,284390253.0,0.0,246122072.0,160380659.0,166385775.0,-6005116.0,204081169.0,0.0,198076053.0,32286965.0,485412.0,2039644.0,943805.0,82777.0,861028.0,23365802.0,0.0,3402794.0,0.0,2518195.0,65042617.0,0.0,39459700.0,0.0,10597374.0,8152730.0,0.0,2881988.0,1131629.0,31938663.0,94162084.0,159204701.0,0.0,1075958.0,100000.0,0.0,1175958.0,160380659.0,62471680.0,39812563.0,986682.0,604854.0,5438640.0,2684228.0,12065430.0,6796610.0,18520786.0,8558017.0,7210654.0,7210654.0,2467340.0,39627598.0,12874034.0,0.0,0.0,0.0,0.0,17596965.0,0.0,166385775.0,78540960.0,37477986.0,11167262.0,15433181.0,5037683.0,18728703.0,1.0,41598334.0,0.0,0.0,108206.0,-24104503.0,7457344.0,3086852.0,592059.0,9937882.0,402738.0,8152730.0,0.0,245943.0,13896434.0,32635727.0,26790194.0,3378193.0,30168387.0,2467340.0,1.0,56512129.0,58268865.0,36.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,145336,77798800.0,106074304.0,6134302.0,112208606.0,190007406.0,299351.0,2030956.0,10961653.0,12992609.0,43599049.0,16728189.0,60327238.0,73319847.0,23570849.0,78080006.0,843499.0,0.0,14492556.0,93416061.0,1389086.0,9657646.0,153811563.0,25209211.0,1768974.0,191836480.0,82633013.0,460220.0,0.0,108568683.0,96334618.0,12234065.0,81181996.0,0.0,93416061.0,34176686.0,4564544.0,1253873.0,206284.0,0.0,206284.0,3379700.0,0.0,46332.0,0.0,2089488.0,45716907.0,0.0,22089100.0,0.0,8913757.0,5180728.0,0.0,0.0,1315779.0,23675418.0,61174782.0,106891689.0,1676994.0,0.0,0.0,0.0,1676994.0,108568683.0,43619003.0,28633465.0,684631.0,355368.0,4545174.0,2030727.0,3155344.0,1589462.0,6371149.0,3390748.0,13892718.0,7310898.0,7705435.0,1869605.0,696795.0,0.0,0.0,0.0,0.0,14491559.0,3397693.0,96334618.0,47405156.0,20192348.0,7900500.0,4726304.0,1864755.0,14245555.0,1.0,164780.0,0.0,0.0,107989.0,-5592282.0,11065737.0,23570849.0,191362.0,8608636.0,1916507.0,5371329.0,0.0,0.0,2969078.0,18865550.0,11160115.0,0.0,11160115.0,7705435.0,1.0,2159792.0,2336536.0,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,145600,765329438.0,1200788788.0,1064047975.0,2264836763.0,3030166201.0,44436961.0,37404387.0,460052401.0,497456788.0,503944808.0,696646917.0,1200591725.0,1698048513.0,195824388.0,859917973.0,163008953.0,14570235.0,143233100.0,1180730261.0,64826430.0,293379312.0,1865784329.0,685841619.0,87331334.0,2997163024.0,1643474985.0,0.0,0.0,3015139587.0,2892102766.0,123036821.0,1024081143.0,33612297.0,1180730261.0,374735659.0,251139889.0,18588844.0,47109402.0,2643647.0,44465755.0,137417898.0,800546582.0,172318658.0,5868424.0,251926153.0,2059651509.0,0.0,230601315.0,0.0,52998288.0,46570292.0,0.0,27081204.0,38735383.0,552659620.0,948646102.0,3008297611.0,6752126.0,89300.0,550.0,0.0,6841976.0,3015139587.0,848575678.0,421095558.0,298113101.0,135132531.0,233001734.0,91511244.0,207325603.0,91522900.0,66151152.0,28315239.0,76686311.0,31192723.0,2415546.0,139493496.0,24679121.0,1016407575.0,339620169.0,3932570.0,0.0,0.0,0.0,2892102766.0,1163069485.0,651935792.0,126203389.0,94464481.0,24535569.0,831894050.0,2.0,,,,,,,,,52180791.0,914424.0,86386101.0,0.0,5652444.0,23108616.0,168242376.0,165812504.0,14326.0,165826830.0,2415546.0,1.0,319252580.0,367788661.0,46.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,145637,686054869.0,2060747646.0,1713684578.0,3774432224.0,4460487093.0,42871539.0,72154435.0,413982220.0,486136655.0,879055896.0,680708722.0,1559764618.0,2045901273.0,211904127.0,1592289585.0,411292653.0,86322798.0,155648196.0,2245553232.0,71917624.0,453988493.0,2751942139.0,1471084675.0,247896225.0,4996829156.0,2592549511.0,0.0,0.0,2847686273.0,2617713864.0,229972409.0,1959345746.0,56235077.0,2245553232.0,794891907.0,453904229.0,47813452.0,91005693.0,12459664.0,78546029.0,281890431.0,0.0,161181810.0,5801938.0,22106757.0,1858596217.0,0.0,261754747.0,0.0,41523951.0,37881895.0,0.0,155585678.0,59020583.0,424518427.0,980285281.0,2838881498.0,4955026.0,3652607.0,197142.0,0.0,8804775.0,2847686273.0,771622133.0,353658013.0,605523078.0,217252184.0,216192844.0,97524317.0,379268864.0,146290339.0,164290611.0,59752055.0,87205223.0,34378739.0,52844885.0,333066545.0,77305570.0,9885.0,0.0,7689796.0,1335180.0,0.0,0.0,2617713864.0,987496397.0,637780725.0,194298123.0,142832477.0,36181476.0,619124666.0,2.0,,,,,,,,,39651417.0,7916341.0,151933397.0,0.0,29092283.0,71973557.0,300566995.0,244217549.0,3504561.0,247722110.0,52844885.0,1.0,1578168669.0,1772257725.0,71.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,145813,164174045.0,435079325.0,260680742.0,695760067.0,859934112.0,2032487.0,9747361.0,44248922.0,53996283.0,150504054.0,45868191.0,196372245.0,250368528.0,8573968.0,364358168.0,134262553.0,0.0,104403382.0,603024103.0,57446886.0,13146983.0,650623503.0,194692265.0,66498186.0,982407823.0,494598267.0,0.0,30692278.0,563017880.0,533969502.0,29048378.0,573975725.0,0.0,603024103.0,200661522.0,16784913.0,2291257.0,2265516.0,65227.0,2200289.0,90801134.0,0.0,3129981.0,0.0,20595082.0,336529405.0,0.0,66354100.0,0.0,27041463.0,28305366.0,0.0,1873608.0,11024634.0,90010622.0,224609793.0,561139198.0,29675.0,1849007.0,0.0,0.0,1878682.0,563017880.0,155147439.0,104006867.0,26480414.0,12938232.0,18071563.0,6538275.0,28881189.0,17810944.0,55884909.0,25284299.0,58524942.0,24441612.0,56152680.0,88331033.0,27915281.0,0.0,0.0,0.0,0.0,46495333.0,0.0,533969502.0,218935510.0,4023774.0,39690847.0,26133717.0,5947726.0,239237928.0,2.0,,,,,,,,,26367339.0,1663691.0,5440008.0,0.0,4825.0,96988076.0,130463939.0,60151665.0,14159594.0,74311259.0,56152680.0,1.0,128825072.0,144350035.0,54.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,147703,137383384.0,419634295.0,78049697.0,497683992.0,635067376.0,7055685.0,11440271.0,58258872.0,69699143.0,329642225.0,64627628.0,394269853.0,463968996.0,10308953.0,92048741.0,82664432.0,505700.0,-7373761.0,167845112.0,111491713.0,0.0,714463700.0,190901674.0,19058327.0,1035915414.0,620101665.0,3820547.0,0.0,493124973.0,517254754.0,-24129781.0,192252434.0,-277541.0,167845112.0,117278082.0,16926509.0,8868293.0,6707512.0,213500.0,6494012.0,86650024.0,0.0,28538966.0,0.0,1698633.0,266668019.0,3316391.0,83647023.0,0.0,26363472.0,20922660.0,0.0,0.0,4855842.0,85415000.0,224520388.0,491188407.0,1651743.0,284823.0,0.0,0.0,1936566.0,493124973.0,198622795.0,106419160.0,20157069.0,10883464.0,27916915.0,13651152.0,41554179.0,19608094.0,29643323.0,11989408.0,65351655.0,23503390.0,32733212.0,100499365.0,37252693.0,0.0,0.0,0.0,0.0,776241.0,0.0,517254754.0,223307361.0,19582134.0,28035995.0,28231812.0,22265730.0,195831722.0,2.0,,,,,,,,,25525608.0,836864.0,29790420.0,0.0,0.0,27689135.0,83842027.0,51108815.0,0.0,51108815.0,32733212.0,1.0,85698762.0,82500350.0,30.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,147776,79661425.0,152809057.0,34072900.0,186881957.0,266543382.0,2101928.0,2565725.0,12380921.0,14946646.0,87080269.0,5449191.0,92529460.0,107476106.0,35690810.0,106184937.0,8787344.0,0.0,10506113.0,125478394.0,38520510.0,0.0,227873194.0,41407538.0,2469281.0,310270523.0,126472041.0,0.0,0.0,172731318.0,170006846.0,2724472.0,122753922.0,0.0,125478394.0,47566399.0,17318218.0,2182599.0,937385.0,328738.0,608647.0,2609726.0,0.0,0.0,0.0,2027589.0,72641916.0,0.0,33873200.0,0.0,14528393.0,8483767.0,0.0,0.0,1053590.0,41137355.0,99076305.0,171718221.0,156197.0,0.0,0.0,856900.0,1013097.0,172731318.0,85349305.0,48734743.0,2056242.0,1008941.0,15687992.0,7900006.0,9788975.0,4336591.0,13675489.0,6337628.0,19196765.0,8726053.0,6471304.0,7395911.0,1973451.0,0.0,0.0,0.0,0.0,10384863.0,0.0,170006846.0,79017413.0,47066680.0,14781537.0,7851025.0,2029025.0,19261166.0,1.0,0.0,0.0,0.0,981867.0,456272.0,37426586.0,4985311.0,1120061.0,14050903.0,774041.0,8459603.0,0.0,995293.0,4673246.0,28953086.0,22481782.0,0.0,22481782.0,6471304.0,1.0,11479608.0,12418297.0,11.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,148654,12663304.0,112842133.0,14591204.0,127433337.0,140096641.0,1455195.0,3012153.0,11229205.0,14241358.0,66055384.0,11563011.0,77618395.0,91859753.0,2696919.0,50119099.0,5916768.0,126552.0,-9167255.0,46995164.0,1630114.0,12645889.0,174951198.0,41717772.0,320896.0,231265869.0,115979779.0,0.0,0.0,107321620.0,118219648.0,-10898028.0,56048787.0,1844405.0,46995164.0,23790941.0,1356635.0,5264082.0,572513.0,17435.0,555078.0,15223958.0,0.0,3659425.0,0.0,735320.0,50602874.0,0.0,19580753.0,0.0,4450148.0,3146509.0,0.0,3830053.0,491128.0,25195155.0,56693746.0,107296620.0,0.0,25000.0,0.0,0.0,25000.0,107321620.0,41310965.0,20603551.0,1805605.0,935340.0,12589218.0,5955087.0,14640410.0,6220624.0,13242643.0,4945562.0,12023987.0,5320403.0,1878379.0,20728441.0,4712445.0,0.0,0.0,0.0,0.0,0.0,0.0,118219648.0,48693012.0,26433859.0,12421895.0,6888186.0,3059681.0,20723015.0,2.0,,,,,,,,,4355141.0,139008.0,9494308.0,0.0,598630.0,3588929.0,18176016.0,16219041.0,78596.0,16297637.0,1878379.0,1.0,18054735.0,18618941.0,44.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,149222,100866876.0,471439897.0,146428659.0,617868556.0,718735432.0,5588034.0,11933230.0,54716218.0,66649448.0,122866404.0,168911517.0,291777921.0,358427369.0,52095610.0,337686364.0,26376404.0,5649089.0,-55911370.0,313800487.0,57361949.0,0.0,782879381.0,266550484.0,56337023.0,1163128837.0,691668940.0,0.0,0.0,678658233.0,667321559.0,11336674.0,302463813.0,0.0,313800487.0,114274574.0,19735775.0,11976003.0,19526667.0,5187444.0,14339223.0,44873136.0,50212063.0,116387934.0,0.0,0.0,376986152.0,0.0,128225357.0,0.0,19684894.0,10946274.0,615914.0,10398422.0,7082626.0,123694039.0,300647526.0,677633678.0,313997.0,529942.0,180616.0,0.0,1024555.0,678658233.0,195615320.0,101519269.0,39314802.0,15613812.0,45430318.0,16619770.0,228804887.0,113573645.0,56709510.0,17283958.0,37283781.0,20340723.0,20126170.0,55194272.0,15305245.0,0.0,0.0,0.0,0.0,-11157501.0,0.0,667321559.0,300256422.0,134691922.0,49614819.0,27589789.0,6113884.0,149054723.0,1.0,0.0,0.0,0.0,1667806.0,-12515412.0,97696021.0,52095610.0,2311064.0,16919421.0,944391.0,10946274.0,0.0,3199240.0,38239422.0,70248748.0,44049967.0,6072611.0,50122578.0,20126170.0,1.0,149115652.0,153968634.0,29.0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
